subscription_id,customer_id,plan_type,start_date,end_date,status
1,12741,Basic,2022-08-05,2026-12-18,Active
2,27543,Standard,2024-06-08,,Active
3,28551,Standard,2022-09-19,2026-08-18,Active
4,1576,Standard,2023-02-24,2026-08-03,Active
5,46215,Standard,2025-02-20,,Active
6,37675,Standard,2022-03-11,2025-12-30,Active
7,29175,Standard,2022-03-15,,Active
8,844,Premium,2024-10-15,2026-04-30,Active
9,24836,Standard,2022-09-17,2025-09-20,Active
10,30911,Basic,2022-08-16,2026-08-16,Active
11,46123,Standard,2024-10-14,2025-12-27,Active
12,39904,Premium,2024-09-28,2026-10-08,Active
13,17422,Premium,2022-04-16,2027-01-01,Active
14,45568,Standard,2022-09-27,2026-11-21,Canceled
15,20559,Basic,2024-09-02,,Active
16,49911,Standard,2022-09-07,2026-02-28,Canceled
17,42641,Standard,2022-12-11,2026-02-21,Active
18,46299,Standard,2024-06-08,2026-10-30,Active
19,23568,Basic,2023-04-04,2026-04-13,Active
20,48345,Basic,2022-09-30,2025-06-12,Active
21,13246,Standard,2022-05-12,2025-12-13,Active
22,37716,Basic,2023-08-10,2025-10-11,Active
23,23720,Standard,2024-12-10,2026-01-06,Active
24,15474,Basic,2022-08-31,2026-06-06,Active
25,47280,Premium,2024-05-31,,Active
26,12116,Standard,2022-09-25,2027-01-07,Active
27,10283,Basic,2024-06-20,2026-05-15,Canceled
28,40913,Standard,2022-08-06,,Canceled
29,48109,Basic,2024-10-22,2025-11-01,Active
30,40158,Premium,2023-01-10,,Active
31,46524,Basic,2023-02-11,2025-08-21,Active
32,26717,Basic,2024-08-10,,Canceled
33,48821,Basic,2023-07-07,,Active
34,16436,Basic,2025-02-20,,Active
35,15040,Standard,2022-08-31,2026-07-31,Canceled
36,30298,Basic,2022-12-26,2025-12-29,Active
37,32579,Standard,2022-10-23,2026-04-29,Canceled
38,13858,Basic,2022-06-28,,Active
39,25779,Basic,2024-04-10,2025-09-01,Active
40,8220,Basic,2022-07-29,2027-01-20,Active
41,46356,Standard,2023-05-12,2025-08-20,Active
42,44692,Premium,2023-06-26,,Active
43,28387,Standard,2023-06-21,,Active
44,44640,Standard,2022-08-30,2026-12-04,Active
45,21667,Premium,2023-01-05,2027-01-28,Active
46,9343,Standard,2023-03-06,2026-02-15,Active
47,18108,Standard,2023-09-15,2025-06-06,Active
48,30978,Basic,2024-03-05,2026-05-26,Canceled
49,36318,Basic,2023-03-05,2026-03-08,Active
50,24692,Basic,2023-10-23,2025-09-09,Active
51,43504,Premium,2024-09-15,2025-11-27,Active
52,30230,Basic,2024-10-06,2027-01-09,Active
53,48188,Standard,2022-03-14,2025-05-19,Active
54,9337,Standard,2025-01-11,2025-11-26,Canceled
55,240,Premium,2023-02-05,2025-08-08,Active
56,32203,Premium,2023-10-24,2026-01-21,Canceled
57,23004,Basic,2024-09-09,2025-11-16,Active
58,2114,Premium,2025-01-26,2026-04-29,Active
59,47280,Standard,2024-12-25,2026-10-27,Active
60,45341,Standard,2023-12-05,,Canceled
61,30911,Basic,2022-12-22,,Active
62,43583,Basic,2022-04-02,,Active
63,44653,Basic,2024-10-18,,Canceled
64,12461,Basic,2022-05-20,2025-07-11,Canceled
65,22847,Basic,2024-04-19,2025-08-30,Active
66,40265,Standard,2024-11-15,2027-02-12,Active
67,19536,Basic,2023-05-06,2025-11-14,Active
68,34495,Standard,2024-11-01,2026-11-26,Active
69,30175,Basic,2024-03-01,2025-10-29,Active
70,10867,Basic,2022-07-13,,Active
71,15444,Basic,2022-09-12,2025-07-14,Canceled
72,25214,Basic,2025-01-31,2026-01-15,Active
73,17548,Premium,2022-09-03,2025-06-15,Active
74,32815,Standard,2024-02-17,2027-02-12,Active
75,30332,Standard,2022-05-13,2025-10-14,Active
76,2251,Premium,2023-08-02,2026-01-08,Active
77,38553,Premium,2023-06-23,,Active
78,7512,Premium,2022-11-28,2027-01-20,Active
79,13177,Standard,2024-03-28,,Active
80,5638,Basic,2025-02-28,2026-11-07,Active
81,43378,Standard,2024-05-26,2026-04-26,Active
82,4426,Basic,2022-06-01,2025-10-26,Active
83,10488,Standard,2023-02-09,2025-05-25,Canceled
84,9975,Standard,2024-02-23,2026-12-26,Active
85,26624,Basic,2022-04-18,2026-10-09,Active
86,7599,Basic,2024-07-31,2026-06-26,Active
87,4700,Basic,2022-03-14,,Canceled
88,28129,Premium,2022-06-10,,Active
89,36452,Standard,2022-09-24,2026-12-09,Canceled
90,36792,Basic,2024-09-04,2027-02-12,Active
91,22076,Standard,2023-11-29,2025-08-25,Canceled
92,7809,Standard,2022-10-04,,Canceled
93,3835,Basic,2023-09-04,2027-02-27,Active
94,38199,Basic,2023-01-30,2026-04-15,Active
95,33556,Basic,2024-02-29,,Canceled
96,26084,Basic,2023-03-15,2025-08-28,Active
97,37378,Basic,2023-05-25,2025-05-29,Active
98,25192,Basic,2022-10-10,2026-06-27,Active
99,4691,Premium,2023-12-27,2025-06-16,Active
100,44381,Premium,2024-12-24,2026-07-19,Active
101,40202,Basic,2024-09-30,2026-09-19,Active
102,36301,Basic,2023-09-05,2026-07-20,Active
103,44150,Premium,2022-11-28,2025-05-07,Canceled
104,5572,Premium,2024-09-27,2026-05-23,Active
105,992,Basic,2022-04-08,2025-09-28,Canceled
106,34941,Basic,2022-12-03,2027-01-21,Active
107,46660,Premium,2023-03-31,,Canceled
108,19565,Premium,2022-10-27,,Active
109,28569,Basic,2023-01-23,,Canceled
110,21472,Standard,2023-08-28,,Active
111,1382,Standard,2024-12-03,,Active
112,26693,Basic,2023-04-15,2025-06-22,Active
113,33059,Premium,2024-10-06,,Active
114,45363,Basic,2023-01-31,,Active
115,18959,Basic,2022-09-30,2026-03-29,Canceled
116,11115,Standard,2024-10-01,2026-12-10,Active
117,42745,Standard,2022-09-16,2025-06-27,Active
118,3861,Basic,2022-10-13,2025-09-24,Canceled
119,34569,Premium,2023-05-26,2025-04-15,Canceled
120,10299,Standard,2022-12-19,2026-08-02,Active
121,41063,Standard,2024-05-13,2025-08-04,Active
122,14711,Basic,2024-09-29,,Active
123,26379,Basic,2022-05-24,2026-09-11,Active
124,5402,Premium,2023-11-09,,Active
125,15380,Premium,2022-12-03,2025-08-07,Active
126,16115,Basic,2022-09-30,2026-12-15,Active
127,39605,Basic,2022-10-11,2026-11-20,Active
128,46517,Standard,2024-06-14,,Active
