transaction_id,customer_id,amount,transaction_date
1,24847,194.49,2024-02-27
2,16900,173.46,2023-02-03
3,39684,50.65,2024-07-25
4,24181,26.31,2024-04-04
5,3218,73.78,2023-07-20
6,48650,177.83,2023-06-01
7,3635,26.24,2025-02-25
8,15462,175.29,2022-07-05
9,9689,133.34,2022-12-01
10,38895,79.43,2022-05-31
11,12165,74.01,2024-10-22
12,41996,146.83,2022-07-31
13,6812,135.85,2022-11-05
14,3927,19.36,2022-09-16
15,38874,168.1,2023-05-09
16,36772,173.28,2022-09-19
17,24873,83.77,2023-05-23
18,37163,108.16,2022-06-09
19,18627,178.25,2022-10-23
20,21889,38.23,2023-08-19
21,33578,156.06,2023-04-05
22,1140,102.4,2023-11-13
23,895,123.8,2022-04-10
24,34673,112.96,2024-01-03
25,23703,56.74,2024-07-06
26,42994,98.14,2022-07-18
27,26146,59.93,2022-09-25
28,1114,75.77,2022-03-12
29,16221,55.76,2022-12-04
30,40087,118.32,2022-10-18
31,21352,101.21,2022-06-27
32,2275,58.41,2022-11-10
33,28994,6.23,2023-11-14
34,41410,185.65,2023-04-18
35,5714,182.09,2024-04-06
36,14974,199.29,2024-07-17
37,37521,137.96,2024-08-30
38,45211,170.09,2023-10-27
39,7911,179.27,2024-10-10
40,28789,165.26,2024-05-30
41,9401,33.63,2024-01-28
42,22930,149.84,2023-10-13
43,26579,73.43,2022-08-26
44,12687,154.83,2023-02-28
45,28991,174.7,2024-08-18
46,10034,79.21,2022-09-06
47,8957,32.52,2024-03-15
48,24455,118.14,2024-10-13
49,24631,6.64,2023-01-03
50,17269,45.24,2024-04-06
51,15712,181.95,2024-05-26
52,11607,185.96,2025-01-02
53,27826,151.22,2025-01-09
54,33953,182.69,2023-05-14
55,15083,122.02,2023-11-01
56,19462,176.57,2023-01-09
57,47088,187.12,2022-06-29
58,44825,70.99,2023-07-09
59,13508,70.89,2024-12-28
60,2170,30.29,2023-04-16
61,45459,75.08,2023-05-06
62,32258,10.77,2022-06-02
63,47744,81.82,2024-11-11
64,10385,35.02,2025-02-28
65,34585,149.52,2024-01-11
66,41678,51.27,2024-09-18
67,34326,109.87,2024-09-14
68,32688,43.22,2022-11-04
69,39854,20.07,2024-03-21
70,7025,196.91,2022-05-18
71,29614,163.27,2023-03-27
72,16968,150.14,2024-07-22
73,5705,17.83,2022-06-25
74,3953,144.37,2023-05-24
75,39156,18.06,2023-03-07
76,37707,146.44,2023-03-04
77,5528,149.51,2023-07-17
78,45799,131.98,2022-03-17
79,28206,45.88,2023-01-18
80,22759,144.88,2023-07-25
81,43134,150.66,2022-09-18
82,13487,189.01,2023-11-13
83,44522,66.7,2022-09-17
84,8678,141.17,2023-11-28
85,8560,113.81,2025-01-24
86,24374,131.73,2023-06-04
87,46546,72.61,2022-07-13
88,1289,47.12,2023-06-25
89,646,74.11,2023-09-25
90,37895,23.21,2022-07-08
91,23095,122.82,2022-06-07
92,17070,33.34,2024-07-26
93,46243,27.89,2023-06-23
94,43736,143.23,2023-10-12
95,15542,168.02,2025-01-27
96,22643,182.04,2025-02-22
97,15870,41.55,2025-02-22
98,47687,112,2024-08-08
99,575,124.09,2023-02-27
100,39848,65.3,2023-06-20
101,20478,93.05,2022-03-21
102,11972,183.78,2024-09-15
103,22275,187.84,2023-05-30
104,17985,178.75,2024-09-02
105,1593,104.65,2023-07-26
106,37072,47.24,2022-07-15
107,25608,45.09,2022-08-25
108,7152,135.61,2024-10-13
109,22532,95.54,2022-05-08
110,12520,199.4,2022-08-07
111,20453,121.18,2023-09-25
112,15870,17.54,2023-11-02
113,4345,193.43,2022-04-27
114,21145,137.58,2023-10-07
115,49046,87,2025-01-13
116,21093,39.74,2024-04-22
117,9540,35.4,2024-03-01
118,15505,43.77,2024-07-16
119,29370,120.53,2025-01-20
120,42908,74.99,2022-10-13
121,21782,158.13,2022-11-25
122,25059,68.76,2023-10-19
123,33183,6.66,2022-08-12
124,48948,161.9,2022-06-17
125,5156,7.93,2024-05-29
126,34435,74.36,2022-09-18
127,44193,9.94,2023-08-13
128,42840,71.38,2023-05-20
129,44352,124.75,2023-10-31
130,14255,84.34,2022-03-17
131,33357,25.36,2022-05-12
132,16650,146.18,2024-04-11
133,36450,68.93,2023-02-01
134,35905,7.83,2024-07-26
135,13273,81.15,2022-09-20
136,32400,196.48,2024-06-10
137,45490,86.46,2022-09-08
138,14029,35.47,2022-10-20
139,39170,66.46,2022-09-22
140,23525,190.58,2024-06-20
141,14943,12.83,2022-07-30
142,861,13.82,2022-07-27
143,32571,33.79,2022-04-16
144,39691,180.45,2023-12-19
145,15437,92.68,2023-10-24
146,24938,67.42,2024-01-02
147,33690,169.31,2025-03-05
148,16976,143.19,2024-06-15
149,38498,196.17,2025-01-03
150,45128,71.63,2022-08-20
151,28290,144.73,2024-09-26
152,622,63.73,2024-09-13
153,24063,63.84,2022-09-18
154,16174,181.38,2025-01-26
155,36524,117.22,2023-08-05
156,23255,168.44,2024-07-10
157,33882,61.55,2023-07-07
158,5440,131.5,2023-10-26
159,16906,32.6,2024-12-26
160,2422,39.57,2023-07-21
161,19958,140.7,2023-10-06
162,22607,117.17,2025-02-03
163,34724,82.43,2025-02-09
164,35318,62.73,2024-10-13
165,32041,56.86,2023-08-05
166,18114,90,2022-03-18
167,19596,75.75,2024-04-09
168,917,51.85,2022-11-17
169,20148,186.8,2024-06-16
170,42347,137.49,2024-10-10
171,17551,179.2,2024-10-05
172,8234,103.31,2023-08-30
173,31746,26.58,2022-04-20
174,20440,67.91,2023-11-05
175,23489,108.94,2022-12-05
176,8906,157.29,2023-06-14
177,21126,135.17,2024-10-05
178,45415,28.03,2022-07-01
179,14371,196.51,2023-03-21
180,37769,95.91,2023-10-19
181,32297,32.35,2022-12-06
182,19196,116.27,2025-02-05
183,39114,58.18,2025-01-10
